DateTime,DryBulb,DewPoint,RelHum,Atmos_Pressure,ExtHorizRad,ExtDirRad,HorzIRSky,GloHorzRad,DirNorRad,DifHorzRad,GloHorzIllum,DirNormIllum,DifHorzIllum,ZenLum,WindDir,wind_speed,TotSkyCvr,OpaqSkyCvr,Visibility,Ceiling_Hgt,PresWeathObs,PresWeathCodes,Precip_Wtr,Aerosol_Opt_Depth,SnowDepth,Days_Last_Snow,Albedo,Rain,Rain_Quantity
2021-01-01 01:00:00,-1.68,-7.3,66.29,90633.34,9999,9999,231.51,0.0,-0.0,0.0,999999,999999,999999,9999,316,1.6,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 02:00:00,-2.43,-8.4,64.42,90589.23,9999,9999,228.34,0.0,-0.0,0.0,999999,999999,999999,9999,315,1.7,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 03:00:00,-3.19,-9.49,62.55,90562.76,9999,9999,225.16,0.0,-0.0,0.0,999999,999999,999999,9999,314,1.8,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 04:00:00,-3.95,-10.59,60.68,90518.65,9999,9999,221.98,0.0,-0.0,0.0,999999,999999,999999,9999,314,1.8,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 05:00:00,-4.71,-11.69,58.82,90492.19,9999,9999,218.81,0.0,-0.0,0.0,999999,999999,999999,9999,313,1.9,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 06:00:00,-5.46,-12.79,56.95,90465.72,9999,9999,215.63,0.0,-0.0,0.0,999999,999999,999999,9999,314,2.0,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 07:00:00,-6.22,-13.89,55.08,90421.62,9999,9999,212.45,0.0,-0.0,0.0,999999,999999,999999,9999,315,2.1,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 08:00:00,-6.98,-14.99,53.21,90421.62,9999,9999,209.28,0.0,-0.0,0.0,999999,999999,999999,9999,313,2.2,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 09:00:00,-3.46,-12.38,50.1,90412.8,9999,9999,216.8,106.0,532.33,36.0,999999,999999,999999,9999,312,1.7,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 10:00:00,-0.17,-7.38,58.3,90403.97,9999,9999,218.4,239.0,778.3,47.0,999999,999999,999999,9999,312,1.2,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
2021-01-01 11:00:00,3.32,-5.63,51.9,90386.33,9999,9999,223.4,338.0,892.37,47.0,999999,999999,999999,9999,302,0.5,99,99,9999,99999,9,999999999,999,0.999,999,99,999,999,99
