GloHorzRad,DifHorzRad,DryBulb
82.19999695,82.19999695,2.5
81.66999817,52.65999985,2.210000038
0,0,1.470000029
0,0,0.479999989
0,0,-0.540000021
0,0,-1.399999976
0,0,-1.929999948
0,0,-2.180000067
0,0,-2.24000001
0,0,-2.180000067
0,0,-2.109999895
0,0,-2.099999905
0,0,-2.220000029
0,0,-2.400000095
0,0,-2.549999952
0,0,-2.579999924
0,0,-2.390000105
54.09000015,31.29999924,-1.899999976
74.19999695,74.19999695,-1.059999943
126.0699997,126.0699997,-0.02
165.6699982,165.6699982,1.019999981
468.9299927,271.3599854,1.860000014
451.8299866,261.4700012,2.299999952
147.0399933,147.0399933,2.099999905
99.69000244,99.69000244,1.019999981
45.81000137,45.81000137,-0.610000014
0,0,-2.289999962
0,0,-3.519999981
0,0,-3.799999952
0,0,-3.099999905
0,0,-2.789999962
0,0,-3.099999905
0,0,-3.829999924
0,0,-4.789999962
0,0,-5.809999943
0,0,-6.699999809
0,0,-7.309999943
0,0,-7.670000076
0,0,-7.840000153
0,0,-7.900000095
0,0,-7.900000095
40,28.37999916,-5.400000095
137.5399933,97.58000183,-2.829999924
91.16000366,91.16000366,-1.5
119.6600037,119.6600037,-0.980000019
339.9299927,241.1799927,-0.860000014
128.1699982,128.1699982,-0.709999979
106.2600021,106.2600021,-0.100000001
184.4700012,130.8800049,0.699999988
33.36999893,33.36999893,0.529999971
0,0,0.07
0,0,-0.550000012
0,0,-1.25
0,0,-1.899999976
0,0,-2.430000067
0,0,-2.839999914
0,0,-3.150000095
0,0,-3.380000114
0,0,-3.559999943
0,0,-3.700000048
0,0,-3.829999924
0,0,-3.940000057
0,0,-4.019999981
0,0,-4.079999924
0,0,-4.099999905
70.98999786,45.15999985,-3.900000095
69.06999969,69.06999969,-3.519999981
116.6600037,116.6600037,-3.049999952
152.9600067,152.9600067,-2.50999999
169.9400024,169.9400024,-1.919999957
163.7899933,163.7899933,-1.309999943
472.7999878,300.7799988,-0.699999988
92.48000336,92.48000336,-0.300000012
149.6499939,95.19999695,-0.360000014
0,0,-0.529999971
0,0,-0.779999971
0,0,-1.080000043
0,0,-1.399999976
0,0,-1.710000038
0,0,-2.00999999
0,0,-2.279999971
0,0,-2.529999971
0,0,-2.74000001
0,0,-2.900000095
0,0,-3.019999981
0,0,-3.119999886
0,0,-3.220000029
0,0,-3.349999905
0,0,-3.529999971
0.059999999,0.059999999,-3.799999952
0.200000003,0.200000003,-4.150000095
0.340000004,0.340000004,-4.460000038
0.439999998,0.439999998,-4.599999905
0.49000001,0.49000001,-4.369999886
0.469999999,0.469999999,-3.809999943
0.389999986,0.389999986,-3.099999905
0.270000011,0.270000011,-2.410000086
0.119999997,0.119999997,-1.840000033
0,0,-1.450000048
0,0,-1.299999952
0,0,-1.950000048
0,0,-2.900000095
0,0,-3.059999943
0,0,-3
0,0,-3.460000038
0,0,-4.28000021
0,0,-5.050000191
0,0,-5.400000095
0,0,-5.46999979
0,0,-5.639999866
0,0,-5.880000114
0,0,-6.150000095
0,0,-6.400000095
3.109999895,3.109999895,-6.599999905
10.21000004,10.21000004,-6.71999979
17.12999916,17.12999916,-6.769999981
22.40999985,22.40999985,-6.789999962
24.87000084,24.87000084,-6.800000191
23.97999954,23.97999954,-6.820000172
19.93000031,19.93000031,-6.900000095
13.61999989,13.61999989,-7.039999962
6.409999847,6.409999847,-7.239999771
0,0,-7.46999979
0,0,-7.699999809
0,0,-7.920000076
0,0,-8.100000381
0,0,-8.229999542
0,0,-8.31000042
0,0,-8.380000114
0,0,-8.449999809
0,0,-8.550000191
0,0,-8.699999809
0,0,-8.909999847
0,0,-9.149999619
0,0,-9.369999886
0,0,-9.539999962
0,0,-9.600000381
42.34000015,28.36000061,-8.399999619
136.5399933,91.45999908,-7.090000153
102.5299988,102.5299988,-6.309999943
133.9499969,133.9499969,-5.929999828
148.6399994,148.6399994,-5.809999943
319.3399963,213.9100037,-5.800000191
265.5899963,177.8999939,-5.900000095
181.8300018,121.7900009,-6.199999809
38.68999863,38.68999863,-6.639999866
0,0,-7.159999847
0,0,-7.690000057
0,0,-8.159999847
0,0,-8.5
0,0,-8.670000076
0,0,-8.720000267
0,0,-8.699999809
0,0,-8.680000305
0,0,-8.729999542
0,0,-8.899999619
0,0,-9.239999771
0,0,-9.659999847
0,0,-10.09000015
0,0,-10.39999962
0,0,-10.5
50.11000061,32.08000183,-10.30000019
67.80999756,67.80999756,-9.729999542
265.1400146,169.75,-8.920000076
345.9500122,221.4900055,-8.010000229
163.6399994,163.6399994,-7.159999847
157.8200073,157.8200073,-6.539999962
308.0499878,197.2299957,-6.300000191
90.12999725,90.12999725,-6.269999981
43.00999832,43.00999832,-6.199999809
