,0,1,2,3,4,5,6,7,8,9
0,47.0,54.0,47.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
1,158.9323882925163,54.0,47.0,50.0,235.1045707729291,49.0,59.0,38.0,50.0,51.0
2,47.0,54.0,47.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
3,47.0,54.0,47.0,243.5796653379092,52.0,154.44673778834579,59.0,38.0,50.0,230.92205446309035
4,47.0,54.0,47.0,50.0,235.1045707729291,49.0,59.0,38.0,50.0,51.0
5,158.9323882925163,54.0,47.0,50.0,235.1045707729291,49.0,211.59308052909202,38.0,50.0,51.0
6,158.9323882925163,54.0,47.0,62.0,214.25674335114334,270.62812187082307,59.0,38.0,50.0,51.0
7,683.1283542929839,54.0,47.0,94.0,52.0,549.7731878234292,59.0,38.0,50.0,51.0
8,794.6029939505876,333.0655256517847,422.3833960652495,4959.036221964636,4672.794516259969,416.07485965916885,59.0,139.0,555.2237519460557,230.92205446309035
9,119.0,126.0,324.8424281540999,50.0,399.26797291126724,337.62812187082307,315.59308052909205,110.0,122.0,60.0
10,230.9323882925163,374.4900601214126,161.09905411500745,50.0,1505.6992450543978,453.8188064750899,495.59308052909205,4259.751348994649,50.0,1272.5069951986288
11,47.0,54.0,151.0,50.0,212.0,229.69832816426032,477.1777747106789,110.0,50.0,86.0
12,47.0,54.0,2102.0,50.0,236.02287000636932,2390.903343346038,2558.0,605.0,50.0,2141.0
13,2264.658293360153,54.0,132.09905411500745,50.0,432.1386703394223,49.0,59.0,38.0,2296.890817997779,302.9220544630904
14,393.59068165266956,54.0,62.15938451691816,50.0,236.02287000636932,202.19068460426683,59.0,38.0,247.22375194605567,312.4445469952714
15,2618.0,54.0,2430.3833960652496,50.0,2718.0105252734265,49.0,59.0,38.0,1670.0670639729015,123.0
16,230.9323882925163,2285.065525651785,462.8386696689101,50.0,235.1045707729291,162.69832816426032,59.0,122.0,3100.4786470536187,2745.7608421682135
17,2460.5906816526694,390.4900601214126,508.8386696689101,62.0,52.0,241.0,59.0,210.0,1972.4790889208896,504.38170630557954
18,460.7247002919187,206.4900601214126,2655.284341950242,50.0,52.0,429.19068460426683,59.0,190.0,3036.4786470536187,437.90419883776065
19,1671.4495592415192,318.4900601214126,1928.9182049766862,243.5796653379092,214.25674335114334,257.19068460426683,59.0,1261.844684545908,2390.683957992087,283.4596518424892
20,3037.8282469438113,1385.236890871387,13659.801766704284,50.0,52.0,297.6983281642603,59.0,2346.2739189899585,2892.9388530996503,230.92205446309035
21,2595.5906816526694,357.4900601214126,551.3833960652495,50.0,52.0,49.0,59.0,676.6105662830807,472.00033153629454,2266.459651842489
22,564.9783136715315,393.9891689644054,526.284341950242,122.0,214.25674335114334,49.0,211.59308052909202,400.0281866060317,2988.4786470536187,123.0
23,2869.340621018355,126.0,323.2977017577605,334.0,235.1045707729291,49.0,59.0,222.0,3244.0497630323625,51.0
24,47.0,54.0,47.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
25,47.0,54.0,131.97845248630705,50.0,52.0,162.6891119120492,59.0,38.0,50.0,51.0
26,47.0,54.0,47.0,260.1758679497591,424.17058519278515,284.89389445700306,234.45521244727038,38.0,50.0,221.58954400892875
27,47.0,54.0,47.0,50.0,254.6584925601552,162.6891119120492,59.0,38.0,50.0,51.0
28,47.0,54.0,47.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
29,47.0,54.0,47.0,50.0,52.0,49.0,151.0,38.0,50.0,51.0
30,47.0,54.0,79.0,260.1758679497591,52.0,162.6891119120492,249.5658386286133,38.0,50.0,51.0
31,47.0,2109.0,1455.2170082758234,134.0,1229.8363993665175,49.0,2448.8520400656753,511.4792033373275,50.0,221.58954400892875
32,363.0723037326015,126.0,2385.8389429809863,235.91771411164217,64.0,49.0,496.3072525129456,122.0,186.78548493578546,156.38743518268552
33,1400.5670461995296,621.0,119.0,384.1758679497591,382.99430037533483,196.0,2874.021051075884,38.0,2406.407189945568,51.0
34,542.5948392686228,54.0,496.8975089911373,464.1758679497591,52.0,151.40863008513608,309.682048752902,38.0,50.0,2038.3863589183195
35,470.59048175112514,54.0,2257.6668221771597,182.0,52.0,284.89389445700306,260.85204006567517,98.0,186.78548493578546,51.0
36,2710.067946215104,219.43872125949045,270.3366040854678,2225.0,424.17058519278515,284.89389445700306,320.0,2153.0,2529.6185582962153,51.0
37,270.59048175112514,2258.615561617507,1272.8652426704386,242.0,1251.1353205346772,59.40863008513608,71.0,110.0,245.2113683506472,221.58954400892875
38,355.06794621510386,2633.8682542736165,119.0,299.0,2449.0709872152133,162.6891119120492,59.0,218.81011791955964,2478.407189945568,51.0
39,370.59048175112514,203.6155616175071,296.0,75.91771411164217,175.48220774270487,3011.332254044759,59.0,110.0,50.0,51.0
40,2849.590481751125,363.4387212594904,213.20913930028473,3470.6874949636663,210.48220774270487,58.0,59.0,2535.038131448198,2406.407189945568,63.0
41,2451.067946215104,355.0,653.4555550508926,294.0,1351.638972347133,284.89389445700306,59.0,414.46389219143185,122.0,123.0
42,543.5904817511251,467.15386451541747,580.4555550508926,2277.0,2371.869225426096,405.4143904869385,352.3072525129456,1337.3411853466778,2747.1926748813535,135.0
43,361.6124921043716,534.8433505676021,3966.491275707568,354.0,2272.0766868398787,424.1339086600253,426.5658386286133,381.5965332392991,257.2113683506472,1229.97817718728
44,2945.2306898214683,1547.3641458517307,395.894650145223,334.0,171.0,364.7252785748893,131.0,322.0,173.2113683506472,377.9769791916143
45,4596.479303082211,642.9177929563873,327.5580460597552,2309.0,2406.5887794725086,353.3386912049792,131.0,454.774440812581,297.2113683506472,1505.8476690481843
46,688.5904817511251,713.4589121851092,588.7518983468497,504.1758679497591,2506.5887794725086,395.9300611198431,59.0,470.46389219143185,2689.291656376723,347.86949186090453
47,2546.0,770.4589121851092,2220.2225148806547,784.031225099922,254.6584925601552,171.20478254495384,234.45521244727038,38.0,50.0,373.86949186090453
48,47.0,54.0,47.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
49,47.0,54.0,119.0,50.0,52.0,319.58548262771023,59.0,38.0,50.0,51.0
50,47.0,54.0,119.0,50.0,387.20165644888885,319.58548262771023,59.0,38.0,50.0,272.2836567972038
51,47.0,54.0,97.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
52,47.0,54.0,47.0,50.0,52.0,49.0,59.0,38.0,50.0,51.0
53,47.0,54.0,47.0,50.0,224.83071081535948,49.0,232.89506198413252,38.0,50.0,272.2836567972038
54,47.0,54.0,47.0,110.0,83.82487954404549,49.0,59.0,38.0,50.0,51.0
55,47.0,126.687143035347,47.0,50.0,113.82487954404549,212.59949017309367,59.0,3934.417680036552,247.99142864333572,182.84657529145144
56,67.0,2360.5504158587114,2221.0,50.0,224.83071081535948,49.0,59.0,427.8446611447078,3113.55891910388,51.0
57,2334.342713460508,126.0,197.33834644081512,50.0,52.0,49.0,59.0,38.0,122.0,1082.8148689566058
58,207.6237441178735,621.0,222.55028551732028,50.0,52.0,49.0,59.0,38.0,50.0,541.2713351711261
59,2634.6237441178737,54.0,193.74325914621008,50.0,52.0,49.0,59.0,38.0,50.0,170.98767837392234
60,135.6237441178735,54.0,8178.062186535928,216.92454623332964,214.37094563352937,62.42383814787307,59.0,38.0,50.0,184.8342536653738
61,279.6237441178735,54.0,346.92583050578213,50.0,2328.580036129905,2117.3657773915083,59.0,251.9944505564632,50.0,123.0
62,469.5234626211964,54.0,276.7944617000672,50.0,2340.580036129905,319.58548262771023,59.0,210.0,50.0,123.0
63,2688.3523754905873,54.0,575.9258305057822,50.0,115.82487954404549,49.0,59.0,180.0,50.0,51.0
64,2311.899718503323,245.55041585871132,3633.7026192662843,150.0,276.655590359405,49.0,232.89506198413252,50.0,188.44881472180026,239.98767837392234
